age,gender,education,income,employment_experience,home_ownership,loan_amount,loan_purpose,interest_rate,loan_to_income_ratio,credit_history_years,credit_score,previous_defaults,loan_status
23.00,female,Master,49098.00,0,RENT,4600.00,VENTURE,10.59,0.09,3,669,Yes,0
25.00,female,Bachelor,48842.00,4,MORTGAGE,10000.00,DEBTCONSOLIDATION,7.14,0.2,4,654,No,0
23.00,female,High School,56796.00,0,RENT,4600.00,EDUCATION,11.01,0.08,4,644,Yes,0
21.00,female,Bachelor,48788.00,0,MORTGAGE,9000.00,MEDICAL,7.51,0.18,4,563,Yes,0
25.00,female,Associate,49236.00,2,MORTGAGE,4750.00,DEBTCONSOLIDATION,11.01,0.1,3,682,No,0
26.00,female,High School,53870.00,1,RENT,4600.00,DEBTCONSOLIDATION,13.99,0.09,4,628,No,1
21.00,female,Bachelor,63322.00,0,RENT,4600.00,PERSONAL,8.59,0.07,2,646,Yes,0
21.00,female,Bachelor,48786.00,0,MORTGAGE,8000.00,EDUCATION,11.01,0.16,3,618,Yes,0
23.00,female,Master,63767.00,2,RENT,4600.00,PERSONAL,14.96,0.07,2,600,No,1
26.00,female,Bachelor,64636.00,4,RENT,4600.00,DEBTCONSOLIDATION,15.62,0.07,4,633,No,1
24.00,male,High School,49209.00,3,MORTGAGE,4000.00,DEBTCONSOLIDATION,7.14,0.08,4,543,Yes,0
23.00,female,Bachelor,48826.00,1,MORTGAGE,12000.00,EDUCATION,9.88,0.25,2,666,No,0
25.00,male,Master,41835.00,3,MORTGAGE,5800.00,HOMEIMPROVEMENT,13.48,0.14,3,632,No,1
22.00,male,Bachelor,48700.00,0,MORTGAGE,4000.00,EDUCATION,12.73,0.08,2,695,No,0
24.00,male,High School,89096.00,3,RENT,4600.00,MEDICAL,9.99,0.05,2,656,Yes,0
24.00,female,High School,120863.00,3,RENT,4600.00,EDUCATION,8.49,0.04,2,681,Yes,0
22.00,male,High School,48883.00,3,OWN,6400.00,VENTURE,14.22,0.13,2,649,Yes,0
24.00,male,High School,28168.00,2,RENT,4650.00,MEDICAL,9.99,0.17,4,688,No,0
24.00,male,Bachelor,48837.00,2,MORTGAGE,15000.00,DEBTCONSOLIDATION,9.88,0.31,2,648,No,0
24.00,female,High School,49100.00,5,MORTGAGE,10000.00,VENTURE,11.83,0.2,3,638,Yes,0
21.00,female,High School,39258.00,1,RENT,4650.00,VENTURE,9.32,0.12,2,638,No,0
22.00,male,Associate,58619.00,0,RENT,4650.00,MEDICAL,10.99,0.08,4,621,Yes,0
24.00,female,High School,39143.00,2,RENT,4700.00,VENTURE,8.94,0.12,3,644,Yes,0
25.00,female,Associate,48893.00,6,RENT,4700.00,MEDICAL,12.09,0.1,3,593,No,0
24.00,male,Bachelor,48930.00,0,OWN,9000.00,HOMEIMPROVEMENT,8.94,0.18,3,677,No,0
23.00,male,Bachelor,50285.00,0,RENT,4700.00,PERSONAL,7.90,0.09,2,637,Yes,0
26.00,female,High School,49092.00,7,MORTGAGE,1750.00,VENTURE,11.83,0.04,4,634,Yes,0
24.00,female,Associate,55099.00,0,RENT,4700.00,DEBTCONSOLIDATION,10.96,0.09,2,617,Yes,0
26.00,female,Bachelor,24681.00,3,RENT,4725.00,MEDICAL,11.22,0.19,3,664,No,1
26.00,male,High School,34155.00,7,RENT,4725.00,MEDICAL,6.54,0.14,2,613,No,0
24.00,female,Master,49023.00,0,OWN,7500.00,HOMEIMPROVEMENT,13.22,0.15,3,616,Yes,0
24.00,male,Associate,15472.00,0,RENT,4750.00,EDUCATION,10.75,0.31,4,587,No,1
21.00,male,Bachelor,17316.00,0,RENT,4750.00,PERSONAL,12.73,0.27,3,678,No,1
22.00,male,Associate,18063.00,0,RENT,4750.00,PERSONAL,14.61,0.26,4,642,No,1
26.00,male,Bachelor,17905.00,5,RENT,4750.00,DEBTCONSOLIDATION,10.25,0.27,2,637,No,1
23.00,male,High School,18616.00,1,RENT,4750.00,EDUCATION,11.11,0.26,2,637,No,1
21.00,male,High School,48751.00,0,MORTGAGE,9000.00,EDUCATION,11.14,0.18,3,623,Yes,0
26.00,female,Associate,19022.00,5,RENT,4750.00,PERSONAL,8.49,0.25,3,624,No,1
25.00,male,High School,19415.00,3,RENT,4750.00,PERSONAL,13.85,0.24,4,634,No,1
22.00,female,Associate,20188.00,0,RENT,4750.00,EDUCATION,13.16,0.24,3,687,No,1
23.00,female,Bachelor,49380.00,1,OWN,12000.00,VENTURE,11.14,0.24,3,655,Yes,0
22.00,male,Bachelor,25581.00,0,RENT,4750.00,DEBTCONSOLIDATION,11.49,0.19,2,692,Yes,0
25.00,male,High School,25389.00,3,RENT,4750.00,VENTURE,12.98,0.19,4,592,No,0
24.00,female,High School,48937.00,1,MORTGAGE,3400.00,DEBTCONSOLIDATION,7.40,0.07,3,664,No,0
22.00,female,Associate,26302.00,0,RENT,4750.00,EDUCATION,11.01,0.18,2,623,No,0
25.00,male,Master,29654.00,1,RENT,4750.00,MEDICAL,10.38,0.16,4,588,Yes,0
24.00,male,Master,29880.00,2,RENT,4750.00,DEBTCONSOLIDATION,10.62,0.16,3,705,No,0
21.00,female,Bachelor,32445.00,1,RENT,4750.00,PERSONAL,12.23,0.15,3,632,Yes,0
24.00,female,Bachelor,41604.00,3,MORTGAGE,10000.00,PERSONAL,15.31,0.24,2,641,No,1
24.00,male,Associate,36017.00,4,RENT,4750.00,EDUCATION,11.01,0.13,4,671,No,0
22.00,male,Bachelor,48651.00,0,OWN,6000.00,EDUCATION,11.48,0.12,4,637,Yes,0
24.00,male,High School,49360.00,5,MORTGAGE,3000.00,EDUCATION,15.65,0.06,2,588,No,0
23.00,male,Bachelor,48943.00,0,MORTGAGE,4000.00,EDUCATION,11.48,0.08,3,572,Yes,0
22.00,male,Associate,17019.00,0,RENT,4800.00,MEDICAL,12.53,0.28,4,522,No,1
21.00,female,High School,19190.00,0,RENT,4800.00,VENTURE,8.49,0.25,3,666,No,1
24.00,female,Associate,18691.00,1,RENT,4800.00,PERSONAL,16.95,0.26,3,589,No,1
21.00,male,Bachelor,20273.00,0,RENT,4800.00,MEDICAL,15.37,0.24,3,639,No,1
22.00,male,Associate,24576.00,0,RENT,4800.00,DEBTCONSOLIDATION,10.99,0.2,2,681,No,1
26.00,male,Bachelor,25281.00,3,RENT,4800.00,DEBTCONSOLIDATION,7.49,0.19,2,623,Yes,0
24.00,female,High School,25112.00,3,RENT,4800.00,MEDICAL,11.14,0.19,4,654,No,0
24.00,female,Master,48826.00,4,MORTGAGE,5000.00,VENTURE,8.59,0.1,3,676,Yes,0
22.00,female,Master,49048.00,0,MORTGAGE,7000.00,DEBTCONSOLIDATION,9.32,0.14,3,532,Yes,0
23.00,male,Bachelor,25538.00,0,RENT,4800.00,PERSONAL,11.01,0.19,2,677,No,0
26.00,female,Associate,49090.00,4,MORTGAGE,10750.00,VENTURE,12.84,0.22,4,619,Yes,0
23.00,female,Associate,49024.00,4,MORTGAGE,3500.00,EDUCATION,12.21,0.07,3,657,Yes,0
22.00,female,Bachelor,26475.00,0,RENT,4800.00,MEDICAL,10.75,0.18,3,686,No,0
26.00,female,Master,26094.00,4,RENT,4800.00,VENTURE,7.75,0.18,4,655,No,0
22.00,male,Bachelor,26702.00,0,RENT,4800.00,MEDICAL,13.49,0.18,3,559,Yes,0
21.00,male,Bachelor,27714.00,1,RENT,4800.00,MEDICAL,7.88,0.17,2,679,No,0
26.00,female,Associate,49190.00,3,MORTGAGE,3250.00,VENTURE,8.00,0.07,4,656,Yes,0
21.00,male,Bachelor,41934.00,1,OTHER,9600.00,VENTURE,15.68,0.23,2,648,No,1
23.00,female,Associate,28759.00,0,RENT,4800.00,EDUCATION,6.17,0.17,2,681,No,0
22.00,female,Bachelor,29487.00,4,RENT,4800.00,DEBTCONSOLIDATION,11.86,0.16,3,670,No,0
22.00,male,Master,48993.00,0,MORTGAGE,10000.00,PERSONAL,11.01,0.2,3,641,Yes,0
22.00,male,Master,29754.00,0,RENT,4800.00,EDUCATION,7.49,0.16,2,598,No,0
26.00,male,Master,29680.00,3,RENT,4800.00,EDUCATION,11.01,0.16,3,656,No,0
22.00,male,Associate,30687.00,0,RENT,4800.00,MEDICAL,10.65,0.16,2,448,Yes,0
25.00,female,High School,32604.00,0,RENT,4800.00,PERSONAL,10.65,0.15,4,535,Yes,0
22.00,male,Bachelor,31921.00,0,RENT,4800.00,MEDICAL,10.99,0.15,4,676,No,0
24.00,female,Bachelor,32465.00,3,RENT,4800.00,EDUCATION,13.35,0.15,3,648,Yes,0
23.00,male,Associate,32714.00,2,RENT,4800.00,PERSONAL,11.01,0.15,4,552,Yes,0
21.00,male,Bachelor,33264.00,0,RENT,4800.00,DEBTCONSOLIDATION,13.49,0.14,4,621,Yes,0
21.00,male,Associate,33453.00,0,RENT,4800.00,EDUCATION,7.51,0.14,2,525,Yes,0
22.00,female,Master,48865.00,0,MORTGAGE,8000.00,PERSONAL,16.00,0.16,3,720,Yes,0
21.00,male,High School,34417.00,0,RENT,4800.00,PERSONAL,6.62,0.14,4,598,Yes,0
26.00,female,Doctorate,34735.00,4,RENT,4800.00,MEDICAL,9.25,0.14,4,691,No,0
22.00,male,Master,35218.00,0,RENT,4800.00,MEDICAL,12.99,0.14,4,695,No,0
25.00,male,High School,41647.00,4,MORTGAGE,3000.00,HOMEIMPROVEMENT,10.51,0.07,3,642,No,1
22.00,female,Master,36486.00,0,RENT,4800.00,EDUCATION,11.99,0.13,4,648,No,0
23.00,male,High School,48813.00,5,MORTGAGE,1200.00,VENTURE,10.83,0.02,2,655,No,0
24.00,male,Bachelor,37230.00,2,RENT,4800.00,EDUCATION,6.99,0.13,4,684,No,0
23.00,female,High School,36858.00,3,RENT,4800.00,EDUCATION,7.49,0.13,3,680,Yes,0
24.00,male,High School,36826.00,0,RENT,4800.00,VENTURE,11.49,0.13,2,606,Yes,0
24.00,male,High School,37007.00,1,RENT,4800.00,EDUCATION,13.35,0.13,3,610,Yes,0
23.00,male,Bachelor,36724.00,0,RENT,4800.00,EDUCATION,11.01,0.13,4,652,Yes,0
26.00,female,Associate,48818.00,3,MORTGAGE,5200.00,VENTURE,10.08,0.11,3,685,No,0
25.00,female,High School,36757.00,3,RENT,4800.00,DEBTCONSOLIDATION,11.22,0.13,3,677,Yes,0
24.00,male,Associate,48780.00,1,OWN,1000.00,MEDICAL,7.37,0.02,2,645,No,0
22.00,male,Bachelor,49289.00,0,MORTGAGE,5000.00,MEDICAL,7.68,0.1,4,681,No,0
22.00,female,Master,38588.00,2,RENT,4800.00,VENTURE,10.37,0.12,4,614,Yes,0
24.00,female,Associate,39391.00,2,RENT,4800.00,MEDICAL,10.59,0.12,2,660,No,0
22.00,male,Associate,39191.00,0,RENT,4800.00,DEBTCONSOLIDATION,16.49,0.12,2,621,No,1
22.00,male,Master,39554.00,2,RENT,4800.00,DEBTCONSOLIDATION,11.11,0.12,4,661,No,0
25.00,female,Master,39427.00,0,RENT,4800.00,EDUCATION,7.14,0.12,3,674,Yes,0
22.00,female,Bachelor,48951.00,0,MORTGAGE,8000.00,DEBTCONSOLIDATION,9.76,0.16,4,686,Yes,0
22.00,male,Associate,39631.00,0,RENT,4800.00,EDUCATION,13.61,0.12,4,689,No,0
23.00,male,Bachelor,39997.00,0,RENT,4800.00,VENTURE,11.99,0.12,2,619,Yes,0
26.00,male,Bachelor,40737.00,5,RENT,4800.00,EDUCATION,12.69,0.12,4,616,Yes,0
22.00,male,Bachelor,40665.00,0,RENT,4800.00,MEDICAL,7.49,0.12,4,475,Yes,0
22.00,male,Associate,49138.00,0,MORTGAGE,13025.00,EDUCATION,10.14,0.27,3,648,Yes,0
26.00,male,Master,48951.00,5,OWN,15000.00,MEDICAL,9.64,0.31,4,721,No,0
24.00,female,Associate,40777.00,2,RENT,4800.00,MEDICAL,14.91,0.12,4,584,No,1
24.00,male,High School,48903.00,1,OWN,5000.00,MEDICAL,11.86,0.1,4,606,Yes,0
23.00,male,Associate,41839.00,3,MORTGAGE,2525.00,DEBTCONSOLIDATION,13.12,0.06,3,545,No,1
23.00,male,Master,40459.00,0,RENT,4800.00,DEBTCONSOLIDATION,14.54,0.12,3,715,No,1
25.00,female,Associate,41828.00,3,MORTGAGE,15450.00,VENTURE,11.22,0.37,4,687,No,1
24.00,female,Master,41244.00,4,RENT,4800.00,MEDICAL,11.86,0.12,2,658,Yes,0
26.00,male,Associate,43004.00,6,RENT,4800.00,DEBTCONSOLIDATION,8.90,0.11,2,694,Yes,0
22.00,male,High School,49248.00,0,MORTGAGE,6000.00,VENTURE,9.91,0.12,2,640,No,0
22.00,female,Master,42556.00,1,RENT,4800.00,EDUCATION,5.42,0.11,3,643,Yes,0
25.00,male,High School,43184.00,4,RENT,4800.00,VENTURE,11.14,0.11,2,621,Yes,0
25.00,male,Associate,42667.00,2,RENT,4800.00,MEDICAL,10.28,0.11,2,619,No,0
23.00,female,High School,49187.00,2,OTHER,10000.00,EDUCATION,12.72,0.2,2,583,No,0
24.00,male,High School,48858.00,4,MORTGAGE,5000.00,HOMEIMPROVEMENT,7.14,0.1,2,632,No,0
22.00,female,Bachelor,37192.00,3,RENT,4800.00,PERSONAL,11.01,0.13,3,586,No,1
23.00,male,Associate,44258.00,0,RENT,4800.00,PERSONAL,11.11,0.11,3,636,No,0
21.00,female,High School,49300.00,1,MORTGAGE,7200.00,MEDICAL,7.88,0.15,2,592,Yes,0
25.00,male,High School,36926.00,3,RENT,4800.00,HOMEIMPROVEMENT,15.95,0.13,2,614,No,1
26.00,female,Associate,48850.00,1,MORTGAGE,7000.00,PERSONAL,7.40,0.14,2,603,No,0
22.00,male,Bachelor,49399.00,1,MORTGAGE,6625.00,DEBTCONSOLIDATION,15.23,0.13,3,625,No,0
26.00,male,Master,49262.00,0,MORTGAGE,10000.00,EDUCATION,11.86,0.2,3,694,No,0
23.00,female,High School,49309.00,0,MORTGAGE,5000.00,EDUCATION,7.68,0.1,4,463,Yes,0
25.00,male,Master,46571.00,4,RENT,4800.00,MEDICAL,11.71,0.1,4,666,Yes,0
22.00,male,Associate,39983.00,0,RENT,4800.00,PERSONAL,13.98,0.12,2,687,No,1
22.00,female,Bachelor,47452.00,0,RENT,4800.00,EDUCATION,13.80,0.1,3,676,No,0
26.00,male,High School,49190.00,5,RENT,4800.00,EDUCATION,12.99,0.1,4,628,Yes,0
22.00,male,Associate,49556.00,0,MORTGAGE,11500.00,MEDICAL,11.83,0.23,4,650,No,0
24.00,female,Bachelor,49774.00,0,RENT,4800.00,MEDICAL,13.85,0.1,3,698,No,0
22.00,female,High School,50707.00,0,RENT,4800.00,EDUCATION,11.89,0.09,3,602,No,0
25.00,male,Master,49511.00,0,MORTGAGE,6500.00,HOMEIMPROVEMENT,9.63,0.13,4,661,No,0
22.00,male,Associate,50528.00,0,RENT,4800.00,EDUCATION,12.99,0.09,4,591,Yes,0
22.00,male,High School,51229.00,0,RENT,4800.00,DEBTCONSOLIDATION,14.35,0.09,4,599,Yes,0
25.00,female,Associate,51023.00,3,RENT,4800.00,DEBTCONSOLIDATION,13.22,0.09,4,524,Yes,0
22.00,female,Master,52607.00,0,RENT,4800.00,PERSONAL,11.03,0.09,4,639,No,0
22.00,female,Associate,49870.00,2,MORTGAGE,6250.00,VENTURE,11.01,0.13,2,646,Yes,0
26.00,female,Doctorate,54861.00,3,RENT,4800.00,EDUCATION,14.65,0.09,2,656,Yes,0
25.00,female,High School,55202.00,0,RENT,4800.00,EDUCATION,7.51,0.09,3,544,Yes,0
26.00,male,Bachelor,55223.00,8,RENT,4800.00,MEDICAL,5.42,0.09,2,534,No,0
23.00,female,Bachelor,48030.00,0,RENT,4800.00,PERSONAL,17.99,0.1,4,672,No,1
26.00,male,High School,50086.00,4,MORTGAGE,3500.00,HOMEIMPROVEMENT,7.14,0.07,4,691,Yes,0
26.00,female,Bachelor,49812.00,2,MORTGAGE,10000.00,PERSONAL,13.48,0.2,3,677,Yes,0
26.00,male,Associate,54966.00,3,RENT,4800.00,PERSONAL,13.06,0.09,4,656,No,0
22.00,male,High School,49894.00,0,MORTGAGE,17050.00,EDUCATION,11.01,0.34,2,667,No,0
21.00,female,Master,55427.00,0,RENT,4800.00,VENTURE,7.51,0.09,4,601,Yes,0
23.00,male,Associate,54705.00,4,RENT,4800.00,PERSONAL,13.98,0.09,2,644,Yes,0
23.00,male,Bachelor,55344.00,1,RENT,4800.00,EDUCATION,13.22,0.09,4,689,Yes,0
25.00,male,Bachelor,55243.00,4,RENT,4800.00,PERSONAL,9.45,0.09,4,616,Yes,0
26.00,male,Bachelor,55440.00,4,RENT,4800.00,VENTURE,9.25,0.09,2,549,Yes,0
24.00,male,Associate,56047.00,4,RENT,4800.00,DEBTCONSOLIDATION,7.49,0.09,2,573,Yes,0
24.00,male,High School,56129.00,0,RENT,4800.00,PERSONAL,8.90,0.09,2,537,Yes,0
24.00,female,Bachelor,49807.00,4,MORTGAGE,8000.00,MEDICAL,11.99,0.16,4,590,Yes,0
22.00,male,Bachelor,50419.00,0,MORTGAGE,7975.00,PERSONAL,5.79,0.16,3,596,Yes,0
25.00,female,Bachelor,49750.00,2,MORTGAGE,9700.00,MEDICAL,9.63,0.19,4,538,Yes,0
21.00,male,Associate,58178.00,0,RENT,4800.00,DEBTCONSOLIDATION,7.90,0.08,2,525,Yes,0
23.00,male,Master,50056.00,0,MORTGAGE,10400.00,MEDICAL,10.00,0.21,2,605,Yes,0
23.00,female,High School,58447.00,0,RENT,4800.00,VENTURE,7.90,0.08,3,628,Yes,0
24.00,male,High School,50129.00,2,MORTGAGE,1200.00,EDUCATION,11.01,0.02,3,649,Yes,0
26.00,male,Associate,51109.00,4,RENT,4800.00,VENTURE,14.27,0.09,2,567,No,1
23.00,female,High School,49900.00,1,OWN,21000.00,MEDICAL,6.17,0.42,3,635,Yes,0
24.00,male,High School,51466.00,1,RENT,4800.00,EDUCATION,15.23,0.09,2,517,No,1
22.00,male,High School,49672.00,0,OWN,10000.00,VENTURE,12.61,0.2,2,593,No,0
23.00,male,Associate,58235.00,0,RENT,4800.00,MEDICAL,5.42,0.08,3,681,Yes,0
25.00,male,Associate,49567.00,1,MORTGAGE,8000.00,HOMEIMPROVEMENT,5.79,0.16,2,646,Yes,0
22.00,female,Master,58507.00,0,RENT,4800.00,DEBTCONSOLIDATION,12.98,0.08,2,675,Yes,0
24.00,female,Bachelor,50177.00,2,OWN,14400.00,VENTURE,14.35,0.29,2,569,No,0
25.00,female,High School,58577.00,0,RENT,4800.00,MEDICAL,11.01,0.08,3,666,Yes,0
26.00,female,Associate,50475.00,4,MORTGAGE,7500.00,PERSONAL,7.88,0.15,2,583,No,0
24.00,male,High School,58592.00,2,RENT,4800.00,PERSONAL,9.88,0.08,3,667,Yes,0
23.00,male,Bachelor,59068.00,0,RENT,4800.00,DEBTCONSOLIDATION,10.36,0.08,3,668,No,0
23.00,female,Associate,59647.00,1,RENT,4800.00,MEDICAL,11.36,0.08,4,650,No,0
23.00,female,Master,49747.00,0,MORTGAGE,10000.00,MEDICAL,7.14,0.2,2,667,Yes,0
23.00,female,High School,49792.00,0,MORTGAGE,16000.00,EDUCATION,11.01,0.32,4,678,Yes,0
25.00,male,Master,61120.00,5,RENT,4800.00,EDUCATION,15.96,0.08,2,644,Yes,0
24.00,female,Associate,49777.00,1,MORTGAGE,6000.00,EDUCATION,12.92,0.12,3,667,No,0
25.00,male,Master,61063.00,4,RENT,4800.00,VENTURE,10.99,0.08,4,668,Yes,0
22.00,male,High School,49834.00,0,MORTGAGE,13750.00,EDUCATION,10.83,0.28,4,563,Yes,0
23.00,male,High School,49989.00,2,OWN,12200.00,MEDICAL,11.36,0.24,4,655,No,0
22.00,male,High School,43124.00,0,MORTGAGE,3600.00,DEBTCONSOLIDATION,15.70,0.08,4,663,No,1
23.00,female,Associate,42958.00,0,MORTGAGE,4000.00,MEDICAL,11.01,0.09,4,608,No,1
23.00,male,Associate,60987.00,4,RENT,4800.00,EDUCATION,10.37,0.08,3,654,Yes,0
22.00,female,Bachelor,61156.00,0,RENT,4800.00,MEDICAL,12.68,0.08,3,663,No,0
26.00,female,Master,60925.00,4,RENT,4800.00,VENTURE,11.01,0.08,3,655,Yes,0
24.00,male,Bachelor,60907.00,0,RENT,4800.00,VENTURE,13.22,0.08,4,547,Yes,0
26.00,male,Bachelor,63473.00,1,RENT,4800.00,EDUCATION,9.99,0.08,2,672,Yes,0
23.00,female,Bachelor,63127.00,1,RENT,4800.00,EDUCATION,9.88,0.08,2,571,Yes,0
24.00,female,Associate,67014.00,0,RENT,4800.00,PERSONAL,6.92,0.07,3,649,No,0
21.00,male,Bachelor,67281.00,0,RENT,4800.00,EDUCATION,11.12,0.07,4,694,Yes,0
25.00,male,High School,59575.00,4,RENT,4800.00,MEDICAL,14.96,0.08,2,665,No,1
23.00,male,Associate,50084.00,0,MORTGAGE,6000.00,EDUCATION,6.03,0.12,4,606,No,0
25.00,male,Master,67148.00,2,RENT,4800.00,MEDICAL,7.90,0.07,3,617,Yes,0
22.00,male,Bachelor,50396.00,1,MORTGAGE,12000.00,EDUCATION,6.03,0.24,2,692,No,0
23.00,male,High School,69313.00,0,RENT,4800.00,PERSONAL,10.38,0.07,3,662,Yes,0
21.00,male,Bachelor,49981.00,0,MORTGAGE,7000.00,DEBTCONSOLIDATION,6.03,0.14,3,563,Yes,0
26.00,male,Bachelor,63146.00,3,RENT,4800.00,MEDICAL,17.99,0.08,4,637,No,1
26.00,male,Master,49958.00,5,MORTGAGE,8000.00,PERSONAL,6.03,0.16,3,684,Yes,0
26.00,male,Bachelor,64635.00,3,RENT,4800.00,PERSONAL,15.62,0.07,3,561,No,1
26.00,female,Master,73108.00,5,RENT,4800.00,HOMEIMPROVEMENT,7.90,0.07,3,704,Yes,0
24.00,female,Bachelor,73028.00,3,RENT,4800.00,HOMEIMPROVEMENT,6.54,0.07,4,504,Yes,0
22.00,female,Master,50188.00,0,MORTGAGE,6400.00,VENTURE,9.99,0.13,4,641,No,0
24.00,female,Associate,75350.00,3,RENT,4800.00,PERSONAL,7.14,0.06,3,684,No,0
26.00,female,Associate,50372.00,6,OWN,9000.00,HOMEIMPROVEMENT,11.01,0.18,4,542,Yes,0
22.00,female,High School,50455.00,0,OWN,1000.00,PERSONAL,6.99,0.02,2,609,No,0
26.00,female,Bachelor,78978.00,0,RENT,4800.00,HOMEIMPROVEMENT,13.72,0.06,2,679,Yes,0
24.00,male,Associate,78850.00,1,RENT,4800.00,PERSONAL,7.88,0.06,4,565,Yes,0
24.00,female,High School,50079.00,1,MORTGAGE,2500.00,VENTURE,7.29,0.05,2,655,No,0
25.00,female,High School,79012.00,4,RENT,4800.00,HOMEIMPROVEMENT,13.49,0.06,3,667,Yes,0
21.00,male,High School,50089.00,0,MORTGAGE,3000.00,PERSONAL,5.79,0.06,4,632,Yes,0
21.00,male,High School,50546.00,0,MORTGAGE,8200.00,PERSONAL,6.91,0.16,3,619,Yes,0
23.00,female,High School,43084.00,0,MORTGAGE,5000.00,EDUCATION,12.98,0.12,3,660,No,1
22.00,male,Master,50440.00,0,MORTGAGE,6000.00,EDUCATION,11.86,0.12,2,669,No,0
23.00,male,Bachelor,83781.00,0,RENT,4800.00,MEDICAL,10.75,0.06,2,647,Yes,0
23.00,female,Bachelor,85041.00,2,RENT,4800.00,PERSONAL,11.01,0.06,2,578,Yes,0
26.00,female,Master,87463.00,0,RENT,4800.00,HOMEIMPROVEMENT,11.86,0.05,3,692,No,0
24.00,male,High School,87440.00,1,RENT,4800.00,HOMEIMPROVEMENT,7.14,0.05,2,557,Yes,0
22.00,female,High School,81546.00,0,RENT,4800.00,DEBTCONSOLIDATION,16.70,0.06,2,689,No,1
24.00,female,Bachelor,83789.00,1,RENT,4800.00,DEBTCONSOLIDATION,15.21,0.06,4,612,No,1
22.00,male,High School,91021.00,0,RENT,4800.00,DEBTCONSOLIDATION,12.21,0.05,2,596,Yes,0
24.00,male,High School,50298.00,0,OWN,10000.00,HOMEIMPROVEMENT,15.33,0.2,4,628,Yes,0
24.00,female,Master,50147.00,0,MORTGAGE,9000.00,DEBTCONSOLIDATION,9.88,0.18,2,688,No,0
23.00,female,High School,50210.00,2,MORTGAGE,10000.00,VENTURE,14.96,0.2,2,651,Yes,0
22.00,male,Associate,50259.00,1,MORTGAGE,7750.00,DEBTCONSOLIDATION,9.88,0.15,3,660,Yes,0
23.00,female,Bachelor,104205.00,0,RENT,4800.00,VENTURE,9.62,0.05,3,640,No,0
26.00,male,Bachelor,107935.00,5,RENT,4800.00,EDUCATION,5.99,0.04,2,620,No,0
21.00,female,Bachelor,108794.00,0,RENT,4800.00,EDUCATION,9.62,0.04,3,610,No,0
23.00,female,Master,111790.00,0,RENT,4800.00,MEDICAL,10.00,0.04,3,704,No,0
22.00,male,Associate,50062.00,0,OWN,2500.00,MEDICAL,14.96,0.05,4,560,Yes,0
26.00,female,Bachelor,115204.00,5,RENT,4800.00,DEBTCONSOLIDATION,11.01,0.04,4,654,Yes,0
22.00,male,Associate,50444.00,1,MORTGAGE,6000.00,VENTURE,8.59,0.12,4,690,Yes,0
24.00,female,Master,125079.00,3,RENT,4800.00,VENTURE,10.74,0.04,2,678,Yes,0
24.00,female,Associate,126839.00,2,RENT,4800.00,HOMEIMPROVEMENT,11.01,0.04,2,643,Yes,0
22.00,male,Associate,49867.00,0,MORTGAGE,3000.00,EDUCATION,12.18,0.06,4,684,No,0
21.00,male,Bachelor,50084.00,0,OWN,5000.00,PERSONAL,7.74,0.1,3,678,Yes,0
22.00,female,Bachelor,138701.00,0,RENT,4800.00,MEDICAL,7.88,0.03,2,651,Yes,0
25.00,male,High School,145174.00,0,RENT,4800.00,PERSONAL,14.22,0.03,3,542,Yes,0
23.00,male,Bachelor,50224.00,2,MORTGAGE,6000.00,DEBTCONSOLIDATION,9.32,0.12,3,616,Yes,0
24.00,female,Bachelor,151335.00,0,RENT,4800.00,PERSONAL,6.76,0.03,3,568,Yes,0
23.00,female,Master,50171.00,1,MORTGAGE,4500.00,VENTURE,10.95,0.09,4,643,Yes,0
22.00,female,Master,28822.00,0,RENT,4850.00,VENTURE,14.27,0.17,4,696,No,0
24.00,male,Associate,49180.00,5,RENT,4850.00,EDUCATION,6.62,0.1,2,672,Yes,0
24.00,female,Associate,65759.00,2,RENT,4850.00,HOMEIMPROVEMENT,8.49,0.07,2,616,Yes,0
23.00,male,Master,50407.00,2,MORTGAGE,7500.00,MEDICAL,10.71,0.15,2,717,No,0
23.00,male,Master,50246.00,0,MORTGAGE,5500.00,DEBTCONSOLIDATION,10.71,0.11,4,657,Yes,0
25.00,male,Associate,26909.00,0,RENT,4900.00,EDUCATION,13.72,0.18,2,662,Yes,0
21.00,female,High School,50274.00,0,MORTGAGE,24250.00,VENTURE,10.75,0.48,2,644,Yes,0
25.00,female,Bachelor,50402.00,0,OWN,4000.00,VENTURE,6.76,0.08,3,652,Yes,0
25.00,female,Bachelor,50302.00,0,OWN,12000.00,PERSONAL,11.01,0.24,2,615,Yes,0
23.00,female,Associate,115035.00,0,RENT,10000.00,PERSONAL,10.99,0.09,4,626,No,0
26.00,male,Associate,50038.00,5,MORTGAGE,16000.00,VENTURE,10.95,0.32,3,650,Yes,0
23.00,female,High School,49983.00,3,MORTGAGE,10000.00,VENTURE,9.32,0.2,4,656,Yes,0
25.00,male,Master,100587.00,2,RENT,10000.00,EDUCATION,13.22,0.1,3,648,No,1
23.00,male,Bachelor,116092.00,3,RENT,10000.00,PERSONAL,10.65,0.09,3,645,Yes,0
26.00,male,Associate,116510.00,4,RENT,10000.00,HOMEIMPROVEMENT,19.69,0.09,3,654,Yes,0
21.00,female,Master,49852.00,0,MORTGAGE,5700.00,DEBTCONSOLIDATION,12.99,0.11,4,678,Yes,0
