age,gender,education,income,employment_experience,home_ownership,loan_amount,loan_purpose,interest_rate,loan_to_income_ratio,credit_history_years,credit_score,previous_defaults,loan_status,loan_status_label
26.0,Male,Master,102684.0,4,Mortgage,11600.0,Medical,5.42,0.11,4,575,No,0,Non-Default
23.0,Male,High School,102999.0,1,Mortgage,10000.0,Education,10.99,0.1,2,627,Yes,0,Non-Default
22.0,Male,Associate,103131.0,0,Mortgage,10000.0,Personal,5.99,0.1,2,530,Yes,0,Non-Default
23.0,Male,Bachelor,102829.0,0,Mortgage,21400.0,Venture,13.49,0.21,4,651,No,0,Non-Default
22.0,Male,Bachelor,87362.0,0,Rent,12000.0,Medical,10.99,0.14,4,698,No,0,Non-Default
25.0,Female,Master,38275.0,4,Own,4000.0,Home Improvement,17.19,0.1,4,663,No,1,Default
25.0,Male,High School,80211.0,0,Rent,12000.0,Personal,16.89,0.15,2,595,No,1,Default
25.0,Male,Bachelor,103036.0,3,Mortgage,2800.0,Education,7.49,0.03,3,671,Yes,0,Non-Default
24.0,Female,Bachelor,103379.0,2,Own,27500.0,Education,11.99,0.27,2,669,No,0,Non-Default
22.0,Female,Master,103265.0,0,Mortgage,10000.0,Venture,13.99,0.1,4,524,Yes,0,Non-Default
23.0,Female,Associate,87653.0,0,Rent,12000.0,Venture,9.99,0.14,3,666,Yes,0,Non-Default
26.0,Male,High School,103011.0,2,Mortgage,11000.0,Home Improvement,11.99,0.11,4,624,Yes,0,Non-Default
22.0,Male,Master,102775.0,0,Own,4300.0,Education,11.01,0.04,4,619,Yes,0,Non-Default
24.0,Male,Associate,87025.0,0,Rent,12000.0,Medical,7.88,0.14,4,594,Yes,0,Non-Default
25.0,Female,Bachelor,103165.0,3,Mortgage,24000.0,Debt Consolidation,10.99,0.23,4,716,Yes,0,Non-Default
26.0,Male,Bachelor,102949.0,1,Mortgage,4650.0,Education,8.49,0.05,2,643,Yes,0,Non-Default
22.0,Male,Master,102744.0,1,Mortgage,12000.0,Education,11.99,0.12,3,645,No,0,Non-Default
21.0,Female,Bachelor,87654.0,1,Rent,12000.0,Personal,5.79,0.14,2,540,Yes,0,Non-Default
25.0,Male,Bachelor,103106.0,1,Mortgage,16000.0,Venture,10.99,0.16,2,622,No,0,Non-Default
23.0,Female,Bachelor,87727.0,3,Rent,12000.0,Venture,10.99,0.14,3,600,No,0,Non-Default
25.0,Male,Bachelor,103301.0,3,Mortgage,1500.0,Debt Consolidation,13.06,0.01,2,637,No,0,Non-Default
24.0,Female,Associate,102920.0,1,Mortgage,10000.0,Personal,10.0,0.1,4,639,Yes,0,Non-Default
23.0,Male,High School,103117.0,2,Mortgage,7200.0,Education,6.92,0.07,4,660,Yes,0,Non-Default
25.0,Male,Master,89071.0,2,Rent,12000.0,Education,7.49,0.13,3,692,Yes,0,Non-Default
24.0,Female,Master,103102.0,3,Own,6250.0,Home Improvement,14.91,0.06,2,544,Yes,0,Non-Default
25.0,Female,Master,69722.0,2,Rent,12000.0,Medical,15.31,0.17,4,555,No,1,Default
26.0,Male,Associate,102909.0,4,Mortgage,20000.0,Venture,10.37,0.19,2,593,No,0,Non-Default
25.0,Female,High School,89980.0,3,Rent,12000.0,Venture,7.88,0.13,3,564,Yes,0,Non-Default
23.0,Female,Bachelor,102792.0,0,Mortgage,4000.0,Education,5.79,0.04,3,630,No,0,Non-Default
24.0,Female,High School,102886.0,2,Mortgage,10400.0,Personal,5.79,0.1,4,577,Yes,0,Non-Default
24.0,Male,High School,49322.0,5,Rent,3000.0,Personal,11.01,0.06,4,679,No,0,Non-Default
22.0,Male,Associate,103205.0,0,Mortgage,10000.0,Education,11.01,0.1,2,574,Yes,0,Non-Default
25.0,Female,Bachelor,103029.0,0,Mortgage,7350.0,Debt Consolidation,5.79,0.07,4,615,No,0,Non-Default
24.0,Female,Associate,103199.0,2,Mortgage,9600.0,Personal,10.37,0.09,4,603,Yes,0,Non-Default
23.0,Male,Bachelor,103277.0,1,Mortgage,24000.0,Education,10.74,0.23,2,646,No,0,Non-Default
26.0,Male,High School,50111.0,4,Rent,3000.0,Debt Consolidation,12.42,0.06,3,540,Yes,0,Non-Default
25.0,Male,Master,49953.0,2,Rent,3000.0,Venture,11.01,0.06,3,586,Yes,0,Non-Default
26.0,Female,Bachelor,102790.0,5,Mortgage,2200.0,Venture,13.43,0.02,3,659,Yes,0,Non-Default
23.0,Female,Bachelor,102913.0,0,Mortgage,15000.0,Education,10.0,0.15,2,565,Yes,0,Non-Default
26.0,Female,Bachelor,88424.0,3,Mortgage,14400.0,Home Improvement,13.8,0.16,3,641,No,1,Default
23.0,Female,Master,102711.0,4,Mortgage,5000.0,Education,5.42,0.05,2,642,No,0,Non-Default
23.0,Female,Bachelor,50131.0,3,Rent,3000.0,Debt Consolidation,11.03,0.06,4,678,Yes,0,Non-Default
24.0,Female,High School,102878.0,0,Mortgage,20000.0,Education,11.11,0.19,4,663,Yes,0,Non-Default
22.0,Female,Bachelor,103022.0,2,Mortgage,7000.0,Venture,6.91,0.07,3,658,No,0,Non-Default
26.0,Male,Bachelor,88686.0,3,Mortgage,10000.0,Debt Consolidation,14.09,0.11,3,663,No,1,Default
26.0,Male,Associate,103226.0,0,Mortgage,8000.0,Debt Consolidation,11.01,0.08,3,583,Yes,0,Non-Default
22.0,Male,High School,103181.0,1,Mortgage,12800.0,Venture,6.54,0.12,3,648,Yes,0,Non-Default
26.0,Female,Associate,50372.0,1,Rent,3000.0,Medical,11.14,0.06,2,629,Yes,0,Non-Default
22.0,Female,Bachelor,51556.0,1,Rent,3000.0,Debt Consolidation,12.69,0.06,2,645,Yes,0,Non-Default
24.0,Male,Bachelor,88357.0,0,Mortgage,25000.0,Education,16.32,0.28,2,650,No,1,Default
23.0,Male,Bachelor,102948.0,4,Mortgage,25000.0,Venture,10.36,0.24,4,594,Yes,0,Non-Default
23.0,Male,High School,51384.0,0,Rent,3000.0,Medical,6.62,0.06,3,564,Yes,0,Non-Default
25.0,Male,Associate,103117.0,5,Mortgage,4000.0,Home Improvement,6.54,0.04,3,660,Yes,0,Non-Default
24.0,Female,High School,102887.0,0,Mortgage,1000.0,Education,9.99,0.01,4,543,Yes,0,Non-Default
25.0,Female,Associate,102687.0,1,Mortgage,14000.0,Education,5.79,0.14,2,631,Yes,0,Non-Default
24.0,Male,High School,102932.0,1,Mortgage,25000.0,Medical,10.36,0.24,3,561,Yes,0,Non-Default
22.0,Male,High School,44335.0,2,Rent,3000.0,Medical,11.49,0.07,4,650,No,1,Default
23.0,Female,Master,102859.0,2,Mortgage,10000.0,Venture,10.36,0.1,4,606,No,0,Non-Default
21.0,Female,High School,45139.0,2,Own,9250.0,Venture,12.23,0.2,4,661,Yes,0,Non-Default
23.0,Female,Bachelor,103120.0,3,Mortgage,7000.0,Education,9.25,0.07,4,703,Yes,0,Non-Default
26.0,Male,Associate,103075.0,3,Mortgage,4000.0,Debt Consolidation,9.25,0.04,2,704,No,0,Non-Default
22.0,Female,Associate,102456.0,0,Mortgage,12000.0,Venture,6.91,0.12,3,648,Yes,0,Non-Default
22.0,Female,High School,102986.0,2,Mortgage,5000.0,Education,12.61,0.05,2,656,Yes,0,Non-Default
22.0,Female,Associate,51414.0,4,Rent,3000.0,Personal,11.49,0.06,2,695,Yes,0,Non-Default
22.0,Female,Bachelor,43941.0,0,Rent,3000.0,Home Improvement,10.37,0.07,3,618,No,1,Default
24.0,Female,High School,102530.0,1,Own,22000.0,Venture,6.54,0.21,4,610,No,0,Non-Default
23.0,Female,High School,45324.0,2,Own,1125.0,Medical,5.79,0.02,3,668,No,0,Non-Default
25.0,Female,High School,103283.0,3,Mortgage,5000.0,Home Improvement,6.17,0.05,2,648,Yes,0,Non-Default
23.0,Male,Associate,103428.0,0,Own,9600.0,Education,13.61,0.09,3,674,Yes,0,Non-Default
21.0,Male,Bachelor,45127.0,0,Own,7200.0,Education,13.61,0.16,4,568,Yes,0,Non-Default
23.0,Female,High School,44245.0,1,Rent,3000.0,Personal,11.01,0.07,4,585,No,1,Default
25.0,Male,High School,75581.0,3,Mortgage,5400.0,Medical,15.21,0.07,3,653,No,1,Default
24.0,Female,Associate,102948.0,0,Mortgage,12000.0,Debt Consolidation,7.88,0.12,3,679,No,0,Non-Default
22.0,Female,High School,102991.0,4,Mortgage,6000.0,Venture,7.88,0.06,2,641,No,0,Non-Default
23.0,Female,High School,103444.0,1,Mortgage,25000.0,Personal,10.75,0.24,4,681,Yes,0,Non-Default
24.0,Male,High School,103222.0,0,Mortgage,8000.0,Personal,11.01,0.08,4,638,Yes,0,Non-Default
25.0,Female,Bachelor,45674.0,4,Own,9000.0,Medical,10.25,0.2,3,610,Yes,0,Non-Default
24.0,Male,Associate,103118.0,1,Mortgage,2500.0,Medical,10.38,0.02,4,632,Yes,0,Non-Default
23.0,Male,Associate,102960.0,2,Mortgage,5000.0,Debt Consolidation,14.35,0.05,2,673,No,0,Non-Default
25.0,Female,Master,102691.0,2,Mortgage,2000.0,Personal,11.01,0.02,2,639,No,0,Non-Default
23.0,Male,Bachelor,51379.0,0,Rent,3000.0,Education,17.93,0.06,2,497,Yes,0,Non-Default
24.0,Male,Associate,51377.0,2,Rent,3000.0,Medical,12.73,0.06,4,674,Yes,0,Non-Default
24.0,Female,Associate,103227.0,3,Mortgage,7750.0,Medical,11.12,0.08,4,607,Yes,0,Non-Default
25.0,Male,Bachelor,102942.0,1,Mortgage,4000.0,Venture,7.88,0.04,2,688,No,0,Non-Default
24.0,Female,Bachelor,103112.0,2,Mortgage,12000.0,Home Improvement,7.51,0.12,4,670,No,0,Non-Default
26.0,Male,Bachelor,51456.0,6,Rent,3000.0,Medical,11.83,0.06,2,666,Yes,0,Non-Default
25.0,Male,Master,102960.0,5,Mortgage,9600.0,Home Improvement,13.85,0.09,4,713,Yes,0,Non-Default
23.0,Female,Associate,103435.0,0,Mortgage,4000.0,Education,6.76,0.04,4,582,Yes,0,Non-Default
26.0,Male,Master,103040.0,5,Mortgage,15000.0,Home Improvement,12.73,0.15,4,480,Yes,0,Non-Default
23.0,Male,Master,102800.0,5,Mortgage,20000.0,Education,11.01,0.19,4,656,Yes,0,Non-Default
25.0,Male,Bachelor,102958.0,4,Mortgage,18000.0,Venture,9.88,0.17,3,649,Yes,0,Non-Default
24.0,Male,Bachelor,102994.0,2,Mortgage,7500.0,Home Improvement,11.01,0.07,2,655,No,0,Non-Default
23.0,Female,Bachelor,102776.0,0,Mortgage,8000.0,Education,7.14,0.08,2,649,Yes,0,Non-Default
26.0,Female,Master,103045.0,1,Mortgage,15000.0,Medical,7.88,0.15,4,620,Yes,0,Non-Default
26.0,Female,Associate,102675.0,5,Mortgage,6000.0,Education,9.88,0.06,3,654,No,0,Non-Default
21.0,Female,Bachelor,102766.0,0,Mortgage,25000.0,Education,10.99,0.24,2,690,No,0,Non-Default
23.0,Male,Associate,44285.0,0,Rent,3000.0,Education,12.29,0.07,2,672,No,1,Default
22.0,Male,Associate,51757.0,0,Rent,3000.0,Debt Consolidation,13.48,0.06,2,678,No,0,Non-Default
23.0,Male,Bachelor,102877.0,3,Own,15000.0,Medical,15.33,0.15,2,574,No,0,Non-Default
25.0,Male,Bachelor,52048.0,1,Rent,3000.0,Debt Consolidation,10.71,0.06,2,712,Yes,0,Non-Default
24.0,Male,High School,45012.0,3,Rent,3000.0,Home Improvement,15.33,0.07,3,590,No,1,Default
24.0,Male,Bachelor,102860.0,0,Mortgage,15000.0,Debt Consolidation,9.88,0.15,3,649,No,0,Non-Default
22.0,Male,High School,102851.0,0,Mortgage,12000.0,Venture,11.01,0.12,3,680,Yes,0,Non-Default
23.0,Male,Associate,89867.0,2,Rent,12000.0,Medical,12.53,0.13,4,644,Yes,0,Non-Default
25.0,Female,High School,83400.0,5,Rent,12000.0,Education,13.16,0.14,2,621,No,1,Default
25.0,Male,Associate,103044.0,0,Mortgage,7200.0,Venture,13.57,0.07,3,673,Yes,0,Non-Default
22.0,Female,Bachelor,102861.0,1,Mortgage,11700.0,Education,8.59,0.11,3,706,Yes,0,Non-Default
23.0,Female,Associate,90598.0,1,Rent,12000.0,Debt Consolidation,11.58,0.13,3,677,Yes,0,Non-Default
22.0,Female,High School,103095.0,0,Mortgage,18000.0,Education,12.18,0.17,4,586,Yes,0,Non-Default
23.0,Female,Bachelor,91070.0,5,Rent,12000.0,Education,14.27,0.13,2,600,Yes,0,Non-Default
26.0,Female,Bachelor,102602.0,4,Own,10000.0,Education,12.18,0.1,2,572,Yes,0,Non-Default
23.0,Female,Master,91099.0,1,Rent,12000.0,Medical,6.03,0.13,3,670,Yes,0,Non-Default
22.0,Male,High School,90581.0,0,Rent,12000.0,Personal,13.49,0.13,2,605,No,0,Non-Default
24.0,Male,Master,90860.0,3,Rent,12000.0,Venture,6.62,0.13,2,665,Yes,0,Non-Default
24.0,Male,High School,90911.0,0,Rent,12000.0,Personal,11.01,0.13,4,652,Yes,0,Non-Default
22.0,Female,High School,91059.0,1,Rent,12000.0,Personal,11.49,0.13,3,607,Yes,0,Non-Default
24.0,Male,Bachelor,103196.0,1,Mortgage,4400.0,Debt Consolidation,7.4,0.04,2,630,No,0,Non-Default
26.0,Female,High School,102958.0,5,Mortgage,8000.0,Medical,11.14,0.08,3,593,Yes,0,Non-Default
22.0,Male,Associate,90758.0,1,Rent,12000.0,Venture,10.74,0.13,3,712,No,0,Non-Default
26.0,Female,Master,90906.0,7,Rent,12000.0,Venture,10.37,0.13,4,670,No,0,Non-Default
23.0,Female,Associate,83790.0,0,Rent,12000.0,Venture,12.68,0.14,3,658,No,1,Default
25.0,Male,High School,103132.0,3,Mortgage,20000.0,Venture,13.92,0.19,3,630,Yes,0,Non-Default
22.0,Female,Associate,91122.0,0,Rent,12000.0,Venture,11.01,0.13,3,584,Yes,0,Non-Default
24.0,Male,Master,102820.0,0,Mortgage,12000.0,Home Improvement,11.14,0.12,3,631,Yes,0,Non-Default
22.0,Male,Associate,91074.0,0,Rent,12000.0,Education,11.01,0.13,2,458,Yes,0,Non-Default
23.0,Male,Bachelor,102858.0,2,Mortgage,20000.0,Education,13.22,0.19,4,576,Yes,0,Non-Default
21.0,Male,Associate,45041.0,0,Own,18000.0,Venture,10.25,0.4,4,649,Yes,0,Non-Default
23.0,Female,Bachelor,90771.0,0,Rent,12000.0,Personal,12.98,0.13,2,678,Yes,0,Non-Default
26.0,Female,Bachelor,91034.0,4,Rent,12000.0,Medical,10.38,0.13,3,602,No,0,Non-Default
24.0,Female,High School,90983.0,3,Rent,12000.0,Personal,11.01,0.13,3,560,Yes,0,Non-Default
23.0,Male,Bachelor,88710.0,0,Other,25000.0,Personal,17.9,0.28,2,554,No,1,Default
25.0,Male,Associate,102796.0,1,Mortgage,1000.0,Personal,9.32,0.01,2,630,No,0,Non-Default
23.0,Male,Bachelor,91273.0,0,Rent,12000.0,Personal,12.53,0.13,3,687,No,0,Non-Default
22.0,Male,Bachelor,75047.0,1,Mortgage,6000.0,Medical,14.74,0.08,2,553,No,1,Default
24.0,Male,Bachelor,84036.0,0,Rent,12000.0,Debt Consolidation,10.2,0.14,4,613,No,1,Default
21.0,Male,High School,90751.0,0,Rent,12000.0,Personal,12.09,0.13,2,581,Yes,0,Non-Default
23.0,Male,High School,103182.0,0,Mortgage,15000.0,Personal,12.84,0.15,3,659,No,0,Non-Default
22.0,Female,Bachelor,92016.0,0,Rent,12000.0,Education,7.9,0.13,4,715,No,0,Non-Default
22.0,Male,Associate,102945.0,2,Mortgage,25000.0,Medical,12.53,0.24,4,649,Yes,0,Non-Default
26.0,Female,Bachelor,93204.0,2,Rent,12000.0,Debt Consolidation,11.71,0.13,2,561,Yes,0,Non-Default
24.0,Female,Associate,88185.0,1,Mortgage,9325.0,Home Improvement,12.53,0.11,2,580,No,1,Default
25.0,Female,Associate,103002.0,0,Own,5000.0,Home Improvement,13.79,0.05,2,677,Yes,0,Non-Default
24.0,Male,Master,93112.0,0,Rent,12000.0,Medical,11.49,0.13,4,611,Yes,0,Non-Default
26.0,Female,Associate,94535.0,1,Rent,12000.0,Debt Consolidation,7.14,0.13,2,602,Yes,0,Non-Default
25.0,Male,Bachelor,94272.0,3,Rent,12000.0,Home Improvement,12.53,0.13,2,620,No,0,Non-Default
25.0,Male,Bachelor,95208.0,2,Rent,12000.0,Medical,10.99,0.13,2,682,No,0,Non-Default
26.0,Female,Bachelor,103140.0,1,Mortgage,4800.0,Home Improvement,11.59,0.05,2,652,Yes,0,Non-Default
25.0,Female,Associate,102725.0,3,Mortgage,7500.0,Debt Consolidation,11.03,0.07,3,649,No,0,Non-Default
23.0,Male,Master,102855.0,2,Mortgage,7000.0,Debt Consolidation,8.63,0.07,2,627,No,0,Non-Default
23.0,Male,Bachelor,89227.0,0,Rent,12000.0,Venture,12.99,0.13,2,663,No,1,Default
24.0,Male,High School,96975.0,2,Rent,12000.0,Venture,9.91,0.12,2,657,Yes,0,Non-Default
23.0,Female,Bachelor,102865.0,3,Mortgage,9000.0,Education,12.36,0.09,2,694,Yes,0,Non-Default
25.0,Female,Bachelor,88633.0,0,Mortgage,20000.0,Personal,13.12,0.23,4,655,No,1,Default
26.0,Male,Bachelor,102775.0,5,Mortgage,8500.0,Education,11.01,0.08,4,585,Yes,0,Non-Default
23.0,Male,High School,102964.0,0,Mortgage,5275.0,Education,7.43,0.05,3,666,No,0,Non-Default
24.0,Female,Master,97178.0,4,Rent,12000.0,Medical,12.69,0.12,2,694,Yes,0,Non-Default
26.0,Female,Master,88520.0,3,Mortgage,15000.0,Debt Consolidation,15.68,0.17,3,642,No,1,Default
25.0,Male,Master,102787.0,0,Mortgage,4500.0,Personal,6.39,0.04,3,636,No,0,Non-Default
26.0,Female,High School,103398.0,0,Mortgage,8000.0,Home Improvement,6.03,0.08,4,596,Yes,0,Non-Default
22.0,Female,High School,96531.0,2,Rent,12000.0,Education,11.71,0.12,4,645,Yes,0,Non-Default
25.0,Female,High School,88778.0,0,Mortgage,12000.0,Home Improvement,11.11,0.14,4,590,No,1,Default
21.0,Male,Associate,44384.0,1,Own,12000.0,Personal,9.99,0.27,4,592,Yes,0,Non-Default
23.0,Male,Associate,96973.0,0,Rent,12000.0,Medical,12.42,0.12,2,662,Yes,0,Non-Default
23.0,Male,Master,97173.0,2,Rent,12000.0,Medical,6.62,0.12,4,656,No,0,Non-Default
25.0,Female,Master,96597.0,2,Rent,12000.0,Education,12.99,0.12,3,592,Yes,0,Non-Default
24.0,Male,Master,76653.0,3,Rent,12000.0,Medical,15.62,0.16,2,637,No,1,Default
22.0,Female,Bachelor,103373.0,0,Mortgage,18000.0,Venture,11.01,0.17,4,678,Yes,0,Non-Default
23.0,Female,High School,96673.0,1,Rent,12000.0,Venture,10.59,0.12,4,627,Yes,0,Non-Default
24.0,Male,High School,103670.0,1,Mortgage,20675.0,Education,10.0,0.2,2,656,Yes,0,Non-Default
24.0,Female,High School,103549.0,0,Mortgage,12000.0,Home Improvement,11.49,0.12,4,592,Yes,0,Non-Default
23.0,Female,Master,103780.0,0,Mortgage,6000.0,Education,10.0,0.06,3,646,No,0,Non-Default
24.0,Male,High School,97228.0,1,Rent,12000.0,Personal,13.61,0.12,3,585,Yes,0,Non-Default
21.0,Male,Associate,103935.0,0,Mortgage,18900.0,Venture,11.01,0.18,2,569,Yes,0,Non-Default
26.0,Female,High School,103839.0,6,Mortgage,20000.0,Education,11.01,0.19,4,679,Yes,0,Non-Default
20.0,Female,Associate,104214.0,0,Mortgage,12000.0,Debt Consolidation,8.49,0.12,2,641,Yes,0,Non-Default
23.0,Female,High School,76537.0,1,Rent,12000.0,Medical,14.96,0.16,4,538,No,1,Default
26.0,Male,High School,96801.0,2,Rent,12000.0,Venture,11.83,0.12,3,536,No,0,Non-Default
22.0,Female,Bachelor,104328.0,0,Mortgage,24000.0,Personal,7.51,0.23,2,679,Yes,0,Non-Default
23.0,Male,High School,103998.0,0,Mortgage,15000.0,Personal,6.03,0.14,2,654,Yes,0,Non-Default
23.0,Male,High School,104082.0,0,Mortgage,10000.0,Venture,11.01,0.1,3,684,Yes,0,Non-Default
22.0,Male,Master,97221.0,2,Rent,12000.0,Education,13.47,0.12,3,680,No,0,Non-Default
25.0,Male,High School,89778.0,1,Rent,12000.0,Venture,14.11,0.13,2,596,No,1,Default
23.0,Male,Master,104290.0,1,Mortgage,21000.0,Education,8.9,0.2,4,643,Yes,0,Non-Default
24.0,Male,Associate,96863.0,0,Rent,12000.0,Venture,7.29,0.12,3,676,Yes,0,Non-Default
25.0,Female,High School,97167.0,2,Rent,12000.0,Home Improvement,10.36,0.12,3,671,No,0,Non-Default
21.0,Male,High School,104390.0,0,Mortgage,8400.0,Venture,11.01,0.08,4,567,Yes,0,Non-Default
22.0,Male,Master,103940.0,0,Mortgage,10000.0,Education,11.49,0.1,2,649,No,0,Non-Default
23.0,Male,High School,97884.0,0,Rent,12000.0,Personal,8.9,0.12,3,543,Yes,0,Non-Default
23.0,Female,Bachelor,98081.0,0,Rent,12000.0,Personal,16.29,0.12,4,636,Yes,0,Non-Default
25.0,Male,Bachelor,104146.0,5,Mortgage,13000.0,Venture,8.49,0.12,4,666,Yes,0,Non-Default
24.0,Female,Master,43955.0,2,Own,5000.0,Personal,13.49,0.11,4,668,No,0,Non-Default
25.0,Female,Bachelor,104543.0,5,Mortgage,8000.0,Education,7.29,0.08,2,639,No,0,Non-Default
21.0,Male,High School,99466.0,0,Rent,12000.0,Venture,15.21,0.12,4,614,No,0,Non-Default
22.0,Female,High School,98863.0,0,Rent,12000.0,Education,13.55,0.12,4,523,Yes,0,Non-Default
24.0,Male,Master,104199.0,2,Mortgage,15000.0,Education,5.79,0.14,3,661,No,0,Non-Default
26.0,Male,Master,104174.0,1,Mortgage,5000.0,Venture,11.12,0.05,2,600,No,0,Non-Default
24.0,Female,High School,104324.0,4,Mortgage,16000.0,Home Improvement,11.12,0.15,3,586,Yes,0,Non-Default
25.0,Male,Master,99820.0,2,Rent,12000.0,Education,10.99,0.12,3,684,Yes,0,Non-Default
26.0,Male,Bachelor,104390.0,6,Mortgage,9250.0,Debt Consolidation,11.12,0.09,4,682,No,0,Non-Default
26.0,Female,Bachelor,100305.0,4,Rent,12000.0,Home Improvement,6.91,0.12,4,675,Yes,0,Non-Default
23.0,Female,Master,100392.0,0,Rent,12000.0,Venture,7.51,0.12,3,570,Yes,0,Non-Default
22.0,Female,Associate,103572.0,2,Mortgage,25000.0,Education,11.83,0.24,4,637,Yes,0,Non-Default
22.0,Male,Bachelor,104394.0,0,Mortgage,10000.0,Debt Consolidation,8.94,0.1,4,686,No,0,Non-Default
26.0,Male,Associate,104524.0,3,Mortgage,16000.0,Venture,14.26,0.15,4,666,No,0,Non-Default
23.0,Male,Associate,104563.0,1,Mortgage,25000.0,Medical,11.01,0.24,3,654,Yes,0,Non-Default
22.0,Female,High School,43909.0,0,Own,6000.0,Venture,8.9,0.14,3,543,Yes,0,Non-Default
22.0,Male,Master,100335.0,0,Rent,12000.0,Debt Consolidation,11.71,0.12,4,636,No,0,Non-Default
26.0,Female,Master,100772.0,4,Rent,12000.0,Debt Consolidation,9.99,0.12,3,652,Yes,0,Non-Default
24.0,Female,Bachelor,76843.0,1,Mortgage,14000.0,Medical,17.58,0.18,4,693,No,1,Default
23.0,Female,Bachelor,104401.0,0,Mortgage,16000.0,Personal,12.21,0.15,3,526,Yes,0,Non-Default
24.0,Male,Master,100640.0,2,Rent,12000.0,Personal,13.23,0.12,3,631,No,0,Non-Default
24.0,Female,Associate,104179.0,3,Mortgage,15000.0,Venture,13.16,0.14,3,658,Yes,0,Non-Default
25.0,Female,High School,76276.0,3,Mortgage,3000.0,Medical,10.65,0.04,2,681,No,1,Default
24.0,Male,High School,89703.0,3,Mortgage,8000.0,Debt Consolidation,15.21,0.09,3,631,No,1,Default
26.0,Female,High School,101699.0,0,Rent,12000.0,Education,11.01,0.12,2,567,No,0,Non-Default
24.0,Female,High School,101616.0,2,Rent,12000.0,Personal,6.91,0.12,2,620,Yes,0,Non-Default
25.0,Male,High School,104603.0,6,Mortgage,8000.0,Education,11.71,0.08,4,629,Yes,0,Non-Default
23.0,Female,Associate,94644.0,0,Rent,12000.0,Home Improvement,14.96,0.13,4,661,No,1,Default
23.0,Female,High School,104505.0,2,Mortgage,20000.0,Venture,6.91,0.19,2,586,Yes,0,Non-Default
24.0,Female,Master,104764.0,1,Mortgage,20000.0,Medical,7.29,0.19,3,705,No,0,Non-Default
24.0,Male,Bachelor,104292.0,3,Mortgage,16200.0,Personal,11.01,0.16,4,578,No,0,Non-Default
22.0,Female,Bachelor,95794.0,0,Rent,12000.0,Debt Consolidation,15.95,0.13,3,611,No,1,Default
25.0,Female,Master,103015.0,1,Rent,12000.0,Debt Consolidation,12.42,0.12,4,709,No,0,Non-Default
23.0,Male,High School,90129.0,1,Mortgage,9000.0,Home Improvement,7.66,0.1,2,596,No,1,Default
24.0,Female,High School,104582.0,1,Mortgage,12200.0,Debt Consolidation,7.29,0.12,3,556,Yes,0,Non-Default
22.0,Male,High School,104910.0,0,Mortgage,24000.0,Personal,13.85,0.23,2,632,No,0,Non-Default
23.0,Female,High School,104248.0,1,Own,16000.0,Education,11.86,0.15,3,650,Yes,0,Non-Default
23.0,Female,High School,104483.0,3,Mortgage,14000.0,Venture,7.29,0.13,3,569,Yes,0,Non-Default
26.0,Male,High School,104873.0,4,Mortgage,4300.0,Home Improvement,7.66,0.04,2,628,No,0,Non-Default
24.0,Male,Master,104835.0,2,Mortgage,8750.0,Education,12.72,0.08,2,545,Yes,0,Non-Default
23.0,Male,High School,104917.0,1,Mortgage,20000.0,Personal,12.53,0.19,2,591,No,0,Non-Default
25.0,Female,High School,103040.0,0,Rent,12000.0,Education,11.01,0.12,2,631,Yes,0,Non-Default
23.0,Male,Associate,105393.0,1,Mortgage,10000.0,Personal,8.49,0.09,4,580,Yes,0,Non-Default
23.0,Male,High School,77528.0,5,Mortgage,3500.0,Medical,7.9,0.05,3,659,No,1,Default
24.0,Female,High School,105507.0,0,Mortgage,6000.0,Personal,10.65,0.06,4,647,Yes,0,Non-Default
24.0,Male,High School,105381.0,2,Mortgage,4000.0,Venture,6.03,0.04,2,546,Yes,0,Non-Default
24.0,Female,Bachelor,77408.0,1,Mortgage,35000.0,Medical,11.01,0.45,3,661,No,1,Default
23.0,Male,Bachelor,102990.0,0,Rent,12000.0,Personal,10.37,0.12,4,638,No,0,Non-Default
23.0,Female,Associate,105518.0,5,Mortgage,17000.0,Medical,7.51,0.16,3,529,Yes,0,Non-Default
23.0,Female,Bachelor,102994.0,3,Rent,12000.0,Medical,11.01,0.12,2,647,Yes,0,Non-Default
22.0,Female,High School,91119.0,1,Mortgage,8000.0,Personal,15.99,0.09,4,521,No,1,Default
23.0,Male,Associate,105448.0,4,Mortgage,8000.0,Education,5.99,0.08,4,497,Yes,0,Non-Default
25.0,Female,High School,88285.0,5,Rent,12000.0,Venture,11.01,0.14,2,596,No,1,Default
22.0,Female,Associate,105631.0,0,Mortgage,1750.0,Debt Consolidation,7.49,0.02,4,502,Yes,0,Non-Default
23.0,Female,Associate,91256.0,0,Mortgage,8000.0,Personal,7.49,0.09,4,641,No,1,Default
24.0,Female,Associate,105162.0,3,Mortgage,15000.0,Venture,11.01,0.14,2,684,No,0,Non-Default
26.0,Female,Master,105300.0,7,Mortgage,10000.0,Debt Consolidation,9.99,0.09,3,696,Yes,0,Non-Default
22.0,Male,Bachelor,105850.0,0,Mortgage,11200.0,Personal,8.49,0.11,4,689,Yes,0,Non-Default
22.0,Female,Associate,102774.0,0,Rent,12000.0,Education,12.84,0.12,4,631,No,0,Non-Default
23.0,Male,High School,103185.0,0,Rent,12000.0,Medical,9.63,0.12,2,562,Yes,0,Non-Default
